Date,Daily Deposits,Daily Withdrawals,Loan Repayments,New Loans Issued,Interest Earned
2023-01-01,46190.78,34956.39,13470.37,7304.99,2416.05
2023-01-02,30483.43,16272.0,12128.54,1472.74,4279.01
2023-01-03,35944.47,28956.65,2835.81,1865.66,2355.08
2023-01-04,31196.86,37333.83,12681.9,3681.62,2915.93
2023-01-05,30209.39,18748.04,9925.87,13788.79,3114.83
2023-01-06,30481.49,7321.69,17914.15,11916.46,4408.91
2023-01-07,23471.7,27019.96,18789.27,2977.23,4499.68
2023-01-08,49100.47,25991.29,16614.34,4641.0,3647.35
2023-01-09,36958.18,26533.11,7874.26,2578.84,2833.99
2023-01-10,35995.35,25178.45,2493.76,975.06,1913.07
2023-01-11,49379.46,31468.61,6194.55,4577.3,2131.23
2023-01-12,25177.13,32281.3,5573.32,13516.89,3580.7
2023-01-13,15706.18,36385.85,4513.19,1357.47,477.22
2023-01-14,17206.4,39396.21,13758.98,8432.22,2757.01
2023-01-15,34341.99,10875.55,10333.42,2369.01,4268.09
2023-01-16,27177.98,18569.16,9967.76,6426.47,3515.1
2023-01-17,42994.22,37686.42,16586.92,12874.79,3676.44
2023-01-18,35913.67,33727.21,12066.19,12442.8,839.83
2023-01-19,29097.56,16695.12,19227.59,552.34,583.15
2023-01-20,44618.33,29372.6,8027.23,3030.16,927.23
2023-01-21,12693.09,18145.32,18124.83,1988.32,1843.42
2023-01-22,26663.53,26449.16,17071.41,4202.78,1188.34
2023-01-23,21941.42,7198.46,18791.28,5892.08,1263.63
2023-01-24,41658.44,35972.71,2094.15,1152.83,2911.64
2023-01-25,48423.69,14579.82,7081.81,2335.07,894.28
2023-01-26,29887.8,34779.75,15007.73,12060.14,4132.51
2023-01-27,33916.22,39436.69,8924.31,4254.68,4441.43
2023-01-28,26635.13,32433.32,4971.43,8563.11,4609.67
2023-01-29,31366.36,9521.32,11359.02,13459.92,2218.08
2023-01-30,44865.17,13194.96,2989.64,14772.55,1382.07
2023-01-31,14412.57,34961.6,11883.19,14067.63,361.03
2023-02-01,34801.9,17466.41,4126.5,940.58,4302.97
2023-02-02,49582.67,34170.66,2221.58,12768.76,1866.19
2023-02-03,25151.13,27819.55,15617.07,2523.76,4656.23
2023-02-04,29425.0,39710.48,11740.8,7852.51,1724.04
2023-02-05,28124.59,11400.53,2182.58,7863.26,4413.37
2023-02-06,48701.86,10545.38,9255.97,2539.28,2946.82
2023-02-07,21386.78,32073.03,14391.52,1553.98,1165.78
2023-02-08,21547.3,13814.32,8347.75,5468.22,4871.34
2023-02-09,13006.28,34412.95,13498.26,10996.85,239.57
2023-02-10,44492.88,9581.88,18672.74,4227.18,2554.08
2023-02-11,41245.85,35437.95,7156.74,3345.7,1738.84
2023-02-12,29403.22,20247.92,7369.45,11234.79,2575.6
2023-02-13,32090.24,5922.89,6966.28,2320.36,2774.45
2023-02-14,19708.3,13672.32,15808.78,7879.7,2914.86
2023-02-15,25853.19,37198.68,11331.29,516.59,4742.87
2023-02-16,11930.18,31604.1,7723.03,3060.02,4312.78
2023-02-17,12669.07,20910.53,9785.48,7321.33,1606.72
2023-02-18,30479.35,10819.44,10543.71,14499.49,3431.82
2023-02-19,30790.98,8450.55,19070.74,3631.16,3316.95
2023-02-20,25750.3,38791.97,10319.45,1226.89,1748.48
2023-02-21,41570.2,17171.97,16494.17,8159.36,4146.98
2023-02-22,26342.61,13800.35,6857.02,9361.17,533.51
2023-02-23,49316.2,35904.44,15877.21,14085.22,3265.76
2023-02-24,31218.16,9484.39,17014.65,3349.64,3612.18
2023-02-25,22407.68,17112.02,17037.56,11889.04,3280.11
2023-02-26,26697.41,26649.55,1042.22,12546.26,772.0
2023-02-27,38737.16,36374.77,3180.07,5157.88,4210.23
2023-02-28,17815.65,30751.53,15648.98,4528.65,589.2
2023-03-01,38657.05,29803.7,9263.13,9127.99,2925.89
2023-03-02,22646.07,36790.19,14757.25,13015.87,1842.9
2023-03-03,16355.22,24490.72,5467.3,9892.21,4831.2
2023-03-04,39759.49,30796.2,14523.78,5233.21,3304.09
2023-03-05,13924.92,9694.29,7921.15,1507.95,1226.89
2023-03-06,46250.5,34612.93,4869.95,10753.45,2808.88
2023-03-07,39783.3,33235.8,1411.06,6129.76,1104.88
2023-03-08,49809.12,31675.25,1244.65,8082.81,966.72
2023-03-09,11819.93,24479.81,18533.1,11344.52,4304.77
2023-03-10,18126.67,10270.34,19193.82,13720.18,2944.86
2023-03-11,18057.31,32793.6,14811.12,5241.74,1040.64
2023-03-12,45660.78,5876.91,12186.45,4356.5,4686.39
2023-03-13,28103.32,27408.52,14937.3,4190.7,3771.8
2023-03-14,19454.85,26075.21,15170.58,2734.59,3954.36
2023-03-15,16913.11,8360.85,2484.75,5795.63,3804.08
2023-03-16,49373.21,18177.61,5901.91,2142.59,1679.89
2023-03-17,46826.22,30002.63,11233.26,9616.25,3845.76
2023-03-18,24057.14,5589.74,6493.0,10907.9,2379.76
2023-03-19,45662.76,27505.01,8084.3,5044.67,3269.73
2023-03-20,37429.4,33046.45,7858.4,13959.32,4583.81
2023-03-21,21432.22,39620.33,17775.28,14633.48,1692.17
2023-03-22,29064.38,15976.39,5927.64,674.57,4239.57
2023-03-23,13710.66,29569.6,9839.66,2316.25,2681.77
2023-03-24,46955.31,26097.47,11759.89,1151.88,1872.07
2023-03-25,29237.11,26554.69,10409.73,559.01,1182.23
2023-03-26,10280.63,22065.59,19160.24,8299.21,4744.24
2023-03-27,13758.55,35048.89,13258.33,3339.92,1041.8
2023-03-28,49264.21,29395.02,8856.45,4840.99,2656.29
2023-03-29,39327.13,9865.2,10360.7,11695.25,1682.36
2023-03-30,22531.24,5979.94,5752.7,2498.19,2418.78
2023-03-31,27186.62,21333.52,17420.29,3022.53,1816.82
2023-04-01,26581.38,18034.1,18436.36,4370.81,3896.13
2023-04-02,42598.99,9773.03,3306.56,6655.2,1062.64
2023-04-03,47641.2,39057.04,12481.93,7019.79,4532.86
2023-04-04,38702.16,12891.84,13526.28,3552.62,4127.9
2023-04-05,12688.72,17128.59,10402.68,3727.5,4687.38
2023-04-06,27362.18,34788.89,12702.33,9523.13,2771.29
2023-04-07,16491.33,35377.8,14862.38,10346.72,2135.63
2023-04-08,24172.35,39107.11,19563.21,4839.84,2162.58
2023-04-09,46520.57,25054.79,11503.14,8129.81,888.8
2023-04-10,28411.85,12395.42,12033.03,2597.57,2636.02
2023-04-11,34280.02,29228.9,2881.49,4355.76,3287.82
2023-04-12,42604.84,10424.25,15984.27,14356.79,2693.86
2023-04-13,30261.24,35312.85,12811.35,4908.47,4708.68
2023-04-14,36603.05,5128.86,14153.11,11366.91,2636.7
2023-04-15,38733.14,32468.16,11990.73,6635.68,918.27
2023-04-16,40208.5,12237.29,2629.14,13946.24,768.9
2023-04-17,10499.72,20782.74,14646.87,1545.15,2690.98
2023-04-18,20589.84,27890.51,12194.12,6421.21,2524.73
2023-04-19,25500.72,14091.89,2888.38,10690.67,404.83
2023-04-20,40264.54,31996.71,2491.07,768.31,1149.78
2023-04-21,21866.88,18600.65,2458.31,8693.46,4334.15
2023-04-22,37279.73,26313.59,12790.17,11761.78,2103.4
2023-04-23,42608.29,26510.12,17297.44,4333.91,4702.0
2023-04-24,31281.57,38787.19,18280.89,14533.54,4617.97
2023-04-25,23379.55,35105.48,5641.06,1911.09,3421.29
2023-04-26,33740.36,25180.8,8956.46,5334.25,1275.8
2023-04-27,25821.11,27143.17,12974.4,13171.35,4388.6
2023-04-28,48330.59,5574.31,1677.09,12905.84,2455.96
